priority,app_id,name,kind,category,shader,shader_exists,pubspec_declared,uniform_time_declared,time_code_refs,animation_class_guess,registry_status,registry_resolution
3,mandelbar_power6,Mandelbar⁶,escape_time,Escape-Time,shaders/escape_time_family/families/mandelbar/mandelbar_power6_gpu.frag,true,true,true,2,camera_or_raymarch_time_parametric,exact,mandelbar_power6
3,mandelbar_power7,Mandelbar⁷,escape_time,Escape-Time,shaders/escape_time_family/families/mandelbar/mandelbar_power7_gpu.frag,true,true,true,2,camera_or_raymarch_time_parametric,exact,mandelbar_power7
3,mandelbar_power8,Mandelbar⁸,escape_time,Escape-Time,shaders/escape_time_family/families/mandelbar/mandelbar_power8_gpu.frag,true,true,true,2,camera_or_raymarch_time_parametric,exact,mandelbar_power8
3,mandelbar_power9,Mandelbar⁹,escape_time,Escape-Time,shaders/escape_time_family/families/mandelbar/mandelbar_power9_gpu.frag,true,true,true,2,camera_or_raymarch_time_parametric,exact,mandelbar_power9
3,mandelbrot,Mandelbrot,escape_time,Escape-Time,shaders/legacy/escape_time/mandel_step_smooth.frag,true,true,true,2,color_time_parametric,exact,mandelbrot
3,mandelbrot_curvature_avg,Mandelbrot Curvature Avg,escape_time,Escape-Time,shaders/escape_time_family/mandelbrot_variants/exterior_coloring/mandelbrot_curvature_avg_gpu.frag,true,true,true,3,color_time_parametric,exact,mandelbrot_curvature_avg
3,mandelbrot_de,Mandelbrot DE Glow,escape_time,Escape-Time,shaders/escape_time_family/mandelbrot_variants/exterior_coloring/mandelbrot_de_gpu.frag,true,true,true,2,color_time_parametric,exact,mandelbrot_de
3,mandelbrot_df2,Mandelbrot Df2,escape_time,Escape-Time,shaders/legacy/precision/mandelbrot_df2.frag,true,true,true,1,color_time_parametric,missing,
3,mandelbrot_et,Mandelbrot Et,escape_time,Escape-Time,shaders/legacy/escape_time/mandelbrot_et.frag,true,true,true,3,time_parametric_sampling,missing,
3,mandelbrot_hardgrad,Mandelbrot Hardgrad,escape_time,Escape-Time,shaders/legacy/diagnostics/mandelbrot_hardgrad.frag,true,true,true,1,color_time_parametric,missing,
3,mandelbrot_orbit_trap,Mandelbrot Orbit Trap,escape_time,Escape-Time,shaders/escape_time_family/mandelbrot_variants/exterior_coloring/mandelbrot_orbit_trap_gpu.frag,true,true,true,1,color_time_parametric,exact,mandelbrot_orbit_trap
3,mandelbrot_stripe_avg,Mandelbrot Stripe Average,escape_time,Escape-Time,shaders/escape_time_family/mandelbrot_variants/exterior_coloring/mandelbrot_stripe_avg_gpu.frag,true,true,true,3,color_time_parametric,exact,mandelbrot_stripe_avg
3,mandelbrot_tex,Mandelbrot Tex,escape_time,Escape-Time,shaders/legacy/escape_time/mandelbrot_tex.frag,true,true,true,1,time_parametric_sampling,missing,
3,mandelbrot_tia,Mandelbrot TIA,escape_time,Escape-Time,shaders/escape_time_family/mandelbrot_variants/exterior_coloring/mandelbrot_tia_gpu.frag,true,true,true,3,color_time_parametric,exact,mandelbrot_tia
3,mandelpinski,Mandelpinski Necklaces,escape_time,Escape-Time,shaders/escape_time_family/mandelbrot_variants/singular_perturbations/mandelpinski_gpu.frag,true,true,true,2,growth_process/time_parametric,exact,mandelpinski
3,manowar,Manowar Fractal,escape_time,Escape-Time,shaders/escape_time_family/polynomial_maps/manowar_gpu.frag,true,true,true,2,color_time_parametric,exact,manowar
3,mcmullen_map,McMullen Map,escape_time,Advanced Rational & Polynomial,shaders/escape_time_family/geometry_and_ifs/mcmullen_map_gpu.frag,true,true,true,2,camera_or_raymarch_time_parametric,exact,mcmullen_map
3,mcworter_pentigree,,escape_time,Escape-Time,shaders/ifs_and_geometric/mcworter_pentigree_gpu.frag,true,true,true,1,color_time_parametric,exact,mcworter_pentigree
3,menger_3d_slice,Menger Sponge (3D Slice),escape_time,Escape-Time,shaders/ifs_and_geometric/self_similar_sets/menger_3d_slice_gpu.frag,true,true,true,2,color_time_parametric,exact,menger_3d_slice
3,menger_sponge_2d,Menger Sponge (2D Cross-Section),escape_time,Escape-Time,shaders/ifs_and_geometric/self_similar_sets/menger_sponge_gpu.frag,true,true,true,1,color_time_parametric,exact,menger_sponge_2d
3,mittag_leffler,Mittag Leffler,escape_time,Escape-Time,shaders/trigonometric_and_transcendental/special_functions/mittag_leffler_gpu.frag,true,true,true,2,color_time_parametric,missing,
3,moore_curve,Moore Curve,escape_time,Escape-Time,shaders/ifs_and_geometric/moore_curve_gpu.frag,true,true,true,1,camera_or_raymarch_time_parametric,exact,moore_curve
3,moore_spiegel,Moore-Spiegel Attractor,escape_time,Escape-Time,shaders/strange_attractors/moore_spiegel_gpu.frag,true,true,true,3,color_time_parametric,exact,moore_spiegel
3,muller,Muller,escape_time,Escape-Time,shaders/root_finding/muller_gpu.frag,true,true,true,1,color_time_parametric,alias,f0011_m_ller_s_method
